"","checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","gender","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class"
"44","<0",30,"critical","car purchase",5868,"100<=X<500","4<=X<7",1,"male","none",4,"car",24,"stores","rent",2,"skilled","1","no","yes","good"
"45","<0",33,"critical","car purchase",6143,"<100",">=7",4,"female","none",4,"unknown",58,"stores","for free",2,"unskilled resident","1","no","yes","bad"
"46","no checking",11,"critical","car purchase",1393,"<100","0<X<1",4,"female","none",4,"car",35,"stores","own",2,"high qualified","1","no","yes","good"
"47","no checking",36,"taking credits","consumer goods",2299,"500<=X<1000",">=7",4,"male","none",4,"car",39,"stores","own",1,"skilled","1","no","yes","good"
"48","<0",6,"taking credits","car purchase",1352,"500<=X<1000","0",1,"female","none",2,"life insurance",23,"stores","rent",1,"unskilled foreign","1","yes","yes","good"
"49","no checking",11,"critical","car purchase",7228,"<100","1<=X<4",1,"male","none",4,"life insurance",39,"stores","own",2,"unskilled resident","1","no","yes","good"
"50","no checking",12,"taking credits","consumer goods",2073,"100<=X<500","1<=X<4",4,"female","co applicant",2,"real estate",28,"stores","own",1,"skilled","1","no","yes","good"
"51","0<=X<200",24,"delayed previously","consumer goods",2333,"no known savings","0<X<1",4,"male","none",2,"life insurance",29,"bank","own",1,"unskilled resident","1","no","yes","good"
"52","0<=X<200",27,"delayed previously","car purchase",5965,"<100",">=7",1,"male","none",3,"car",30,"stores","own",2,"high qualified","1","yes","yes","good"
"53","no checking",12,"taking credits","consumer goods",1262,"<100","1<=X<4",3,"male","none",2,"car",25,"stores","own",1,"skilled","1","no","yes","good"
"54","no checking",18,"taking credits","car purchase",3378,"no known savings","1<=X<4",2,"male","none",1,"life insurance",31,"stores","own",1,"skilled","1","yes","yes","good"
"55","0<=X<200",36,"delayed previously","car purchase",2225,"<100",">=7",4,"male","none",4,"unknown",57,"bank","for free",2,"skilled","1","yes","yes","bad"
"56","no checking",6,"paid fully","car purchase",783,"no known savings","1<=X<4",1,"male","guarantor",2,"real estate",26,"stores","own",1,"unskilled resident","2","no","yes","good"
"57","0<=X<200",12,"taking credits","consumer goods",6468,"no known savings","0",2,"male","none",1,"unknown",52,"stores","own",1,"high qualified","1","yes","yes","bad"
"58","no checking",36,"critical","consumer goods",9566,"<100","1<=X<4",2,"female","none",2,"car",31,"stores","own",2,"skilled","1","no","yes","good"
"59",">=200",18,"taking credits","car purchase",1961,"<100",">=7",3,"female","none",2,"car",23,"stores","own",1,"high qualified","1","no","yes","good"
"60","<0",36,"critical","consumer goods",6229,"<100","0<X<1",4,"female","co applicant",4,"unknown",23,"stores","rent",2,"unskilled resident","1","yes","yes","bad"
"61","0<=X<200",9,"taking credits","business",1391,"<100","1<=X<4",2,"male","none",1,"real estate",27,"stores","own",1,"skilled","1","yes","yes","good"
"62","0<=X<200",15,"critical","consumer goods",1537,"no known savings",">=7",4,"male","guarantor",4,"real estate",50,"stores","own",2,"skilled","1","yes","yes","good"
"63","0<=X<200",36,"paid fully","business",1953,"<100",">=7",4,"male","none",4,"unknown",61,"stores","for free",1,"high qualified","1","yes","yes","bad"
"64","0<=X<200",48,"paid fully","business",14421,"<100","1<=X<4",2,"male","none",2,"car",25,"stores","own",1,"skilled","1","yes","yes","bad"
"65","no checking",24,"taking credits","consumer goods",3181,"<100","0<X<1",4,"female","none",4,"life insurance",26,"stores","own",1,"skilled","1","yes","yes","good"
"66","no checking",27,"taking credits","repairs",5190,"no known savings",">=7",4,"male","none",4,"life insurance",48,"stores","own",4,"skilled","2","yes","yes","good"
"67","no checking",12,"taking credits","consumer goods",2171,"<100","0<X<1",2,"female","none",2,"car",29,"bank","own",1,"skilled","1","no","yes","good"
"68","0<=X<200",12,"taking credits","consumer goods",1007,">=1000","1<=X<4",4,"male","none",1,"real estate",22,"stores","own",1,"skilled","1","no","yes","good"
"69","no checking",36,"taking credits","education",1819,"<100","1<=X<4",4,"male","none",4,"unknown",37,"stores","for free",1,"skilled","1","yes","yes","bad"
"70","no checking",36,"taking credits","consumer goods",2394,"no known savings","1<=X<4",4,"female","none",4,"car",25,"stores","own",1,"skilled","1","no","yes","good"
"71","no checking",36,"taking credits","car purchase",8133,"<100","1<=X<4",1,"female","none",2,"life insurance",30,"bank","own",1,"skilled","1","no","yes","good"
"72","no checking",7,"critical","consumer goods",730,"no known savings",">=7",3.4,"male","none",2,"life insurance",46,"stores","rent",2,"unskilled resident","1","yes","yes","good"
"73","<0",8,"critical","other",1164,"<100",">=7",3,"male","none",4,"unknown",51,"bank","for free",2,"high qualified","2","yes","yes","good"
"74","0<=X<200",42,"critical","business",5954,"<100","4<=X<7",2,"female","none",1,"real estate",41,"bank","own",2,"unskilled resident","1","no","yes","good"
"75","<0",36,"taking credits","education",1977,"no known savings",">=7",4,"male","none",2,"unknown",40,"stores","own",1,"high qualified","1","yes","yes","bad"
"76","<0",12,"critical","car purchase",1526,"<100",">=7",4,"male","none",4,"unknown",66,"stores","for free",2,"high qualified","1","no","yes","good"
"77","<0",42,"taking credits","consumer goods",3965,"<100","0<X<1",3.84,"male","none",3,"car",34,"stores","own",1,"skilled","1","no","yes","bad"
"78","0<=X<200",11,"delayed previously","consumer goods",4771,"<100","4<=X<7",2,"male","none",2,"life insurance",51,"stores","own",1,"skilled","1","no","yes","good"
"79","no checking",54,"paid fully","car purchase",9436,"no known savings","1<=X<4",2,"male","none",2,"life insurance",39,"stores","own",1,"unskilled resident","2","no","yes","good"
"80","no checking",30,"taking credits","consumer goods",3832,"<100","0<X<1",2,"male","none",1,"life insurance",22,"stores","own",1,"skilled","1","no","yes","good"
"81","no checking",24,"taking credits","consumer goods",5943,"no known savings","0<X<1",1,"female","none",1,"car",44,"stores","own",2,"skilled","1","yes","yes","bad"
"82","no checking",15,"taking credits","consumer goods",1213,"500<=X<1000",">=7",4,"male","none",3,"life insurance",47,"stores","own",1,"skilled","1","yes","yes","good"
"83","no checking",18,"taking credits","business",1568,"100<=X<500","1<=X<4",3,"female","none",4,"life insurance",24,"stores","rent",1,"unskilled resident","1","no","yes","good"
"84","<0",24,"taking credits","other",1755,"<100",">=7",4,"female","guarantor",4,"real estate",58,"stores","own",1,"unskilled resident","1","yes","yes","good"
"85","<0",10,"taking credits","consumer goods",2315,"<100",">=7",3,"male","none",4,"real estate",52,"stores","own",1,"unskilled resident","1","no","yes","good"
"86","no checking",12,"critical","business",1412,"<100","1<=X<4",4,"female","guarantor",2,"real estate",29,"stores","own",2,"high qualified","1","yes","yes","good"
"87","0<=X<200",18,"critical","consumer goods",1295,"<100","0<X<1",4,"female","none",1,"life insurance",27,"stores","own",2,"skilled","1","no","yes","good"
"88","0<=X<200",36,"taking credits","education",12612,"100<=X<500","1<=X<4",1,"male","none",4,"unknown",47,"stores","for free",1,"skilled","2","yes","yes","bad"
"89","<0",18,"taking credits","car purchase",2249,"100<=X<500","4<=X<7",4,"male","none",3,"car",30,"stores","own",1,"high qualified","2","yes","yes","good"
"90","<0",12,"paid fully","repairs",1108,"<100","4<=X<7",4,"male","none",3,"real estate",28,"stores","own",2,"skilled","1","no","yes","bad"
"91","no checking",12,"critical","consumer goods",618,"<100",">=7",4,"male","none",4,"real estate",56,"stores","own",1,"skilled","1","no","yes","good"
"92","<0",12,"critical","car purchase",1409,"<100",">=7",4,"male","none",3,"real estate",54,"stores","own",1,"skilled","1","no","yes","good"
"93","no checking",12,"critical","consumer goods",797,"no known savings",">=7",4,"female","none",3,"life insurance",33,"bank","own",1,"unskilled resident","2","no","yes","bad"
"94",">=200",24,"critical","consumer goods",3617,"no known savings",">=7",4,"male","co applicant",4,"unknown",20,"stores","rent",2,"skilled","1","no","yes","good"
"95","0<=X<200",12,"taking credits","car purchase",1318,">=1000",">=7",4,"male","none",4,"real estate",54,"stores","own",1,"skilled","1","yes","yes","good"
"96","0<=X<200",54,"paid fully","business",15945,"<100","0<X<1",3,"male","none",4,"unknown",58,"stores","rent",1,"skilled","1","yes","yes","bad"
"97","no checking",12,"critical","education",2012,"no known savings","4<=X<7",4,"female","none",2,"car",61,"stores","own",1,"skilled","1","no","yes","good"
"98","no checking",18,"taking credits","business",2622,"100<=X<500","1<=X<4",4,"male","none",4,"car",34,"stores","own",1,"skilled","1","no","yes","good"
"99","0<=X<200",36,"critical","consumer goods",2337,"<100",">=7",4,"male","none",4,"real estate",36,"stores","own",1,"skilled","1","no","yes","good"
"100","0<=X<200",20,"delayed previously","car purchase",7057,"no known savings","4<=X<7",3,"male","none",4,"life insurance",36,"bank","rent",2,"high qualified","2","yes","yes","good"
"101","no checking",24,"taking credits","car purchase",1469,"100<=X<500",">=7",4,"male","none",4,"real estate",41,"stores","rent",1,"unskilled resident","1","no","yes","good"
"102","0<=X<200",36,"taking credits","consumer goods",2323,"<100","4<=X<7",4,"male","none",4,"car",24,"stores","rent",1,"skilled","1","no","yes","good"
"103","no checking",6,"delayed previously","consumer goods",932,"<100","1<=X<4",3,"female","none",2,"real estate",24,"stores","own",1,"skilled","1","no","yes","good"
"104","0<=X<200",9,"critical","consumer goods",1919,"<100","4<=X<7",4,"male","none",3,"car",28,"stores","rent",1,"skilled","1","yes","yes","good"
"105","no checking",12,"taking credits","car purchase",2445,"no known savings","0<X<1",2,"male","none",4,"car",26,"stores","rent",1,"skilled","1","yes","yes","good"
"106","0<=X<200",24,"critical","other",11938,"<100","1<=X<4",2,"male","co applicant",3,"car",39,"stores","own",2,"high qualified","2","yes","yes","bad"
"107","no checking",18,"paid fully","car purchase",6458,"<100",">=7",2,"male","none",4,"unknown",39,"bank","own",2,"high qualified","2","yes","yes","bad"
"108","0<=X<200",12,"taking credits","car purchase",6078,"<100","4<=X<7",2,"male","none",2,"car",32,"stores","own",1,"skilled","1","no","yes","good"
"109","<0",24,"taking credits","consumer goods",7721,"no known savings","0<X<1",1,"female","none",2,"life insurance",30,"stores","own",1,"skilled","1","yes","no","good"
"110","0<=X<200",14,"taking credits","business",1410,"500<=X<1000",">=7",1,"male","none",2,"real estate",35,"stores","own",1,"skilled","1","yes","yes","good"
"111","0<=X<200",6,"delayed previously","business",1449,"100<=X<500",">=7",1,"male","none",2,"car",31,"bank","own",2,"skilled","2","no","yes","good"
"112",">=200",15,"taking credits","education",392,"<100","0<X<1",4,"female","none",4,"life insurance",23,"stores","rent",1,"skilled","1","yes","yes","good"
"113","0<=X<200",18,"critical","car purchase",6260,"<100","4<=X<7",3,"male","none",3,"real estate",28,"stores","rent",2,"unskilled resident","1","no","yes","good"
"114","no checking",36,"critical","car purchase",7855,"<100","1<=X<4",4,"female","none",2,"real estate",25,"stores","own",2,"skilled","1","yes","yes","bad"
"115","<0",12,"taking credits","consumer goods",1680,"500<=X<1000",">=7",3,"male","none",1,"real estate",35,"stores","own",1,"skilled","1","no","yes","good"
"116","no checking",48,"critical","consumer goods",3578,"no known savings",">=7",4,"male","none",1,"real estate",47,"stores","own",1,"skilled","1","yes","yes","good"
"117","<0",42,"taking credits","consumer goods",7174,"no known savings","4<=X<7",4,"female","none",3,"car",30,"stores","own",1,"high qualified","1","yes","yes","bad"
"118","<0",10,"critical","consumer goods",2132,"no known savings","0<X<1",2,"female","co applicant",3,"real estate",27,"stores","rent",2,"skilled","1","no","no","good"
"119","<0",33,"critical","consumer goods",4281,"500<=X<1000","1<=X<4",1,"female","none",4,"car",23,"stores","own",2,"skilled","1","no","yes","bad"
"120","0<=X<200",12,"critical","car purchase",2366,"500<=X<1000","4<=X<7",3,"male","none",3,"car",36,"stores","own",1,"high qualified","1","yes","yes","good"
"121","<0",21,"taking credits","consumer goods",1835,"<100","1<=X<4",3.32,"female","none",2,"real estate",25,"stores","own",2,"skilled","1","yes","yes","bad"
"122","no checking",24,"critical","car purchase",3868,"<100",">=7",4,"female","none",2,"car",41,"stores","rent",2,"high qualified","1","yes","yes","good"
"123","no checking",12,"taking credits","consumer goods",1768,"<100","1<=X<4",3,"male","none",2,"real estate",24,"stores","rent",1,"unskilled resident","1","no","yes","good"
"124",">=200",14,"critical","car purchase",781,"<100",">=7",4,"male","none",4,"unknown",63,"stores","for free",2,"skilled","1","yes","yes","good"
"125","0<=X<200",18,"taking credits","consumer goods",1924,"no known savings","0<X<1",4,"female","none",3,"real estate",27,"stores","rent",1,"skilled","1","no","yes","bad"
"126","<0",12,"critical","car purchase",2121,"<100","1<=X<4",4,"male","none",2,"life insurance",30,"stores","own",2,"skilled","1","no","yes","good"
"127","<0",12,"taking credits","consumer goods",701,"<100","1<=X<4",4,"male","none",2,"real estate",40,"stores","own",1,"unskilled resident","1","no","yes","good"
"128","0<=X<200",12,"taking credits","repairs",639,"<100","1<=X<4",4,"male","none",2,"car",30,"stores","own",1,"skilled","1","no","yes","bad"
"129","0<=X<200",12,"critical","car purchase",1860,"<100","0",4,"male","none",2,"car",34,"stores","own",2,"high qualified","1","yes","yes","good"
"130","<0",12,"critical","car purchase",3499,"<100","1<=X<4",3,"female","co applicant",2,"real estate",29,"stores","own",2,"skilled","1","no","yes","bad"
"131","0<=X<200",48,"taking credits","car purchase",8487,"no known savings","4<=X<7",1,"female","none",2,"car",24,"stores","own",1,"skilled","1","no","yes","good"
"132","<0",36,"delayed previously","education",6887,"<100","1<=X<4",4,"male","none",3,"life insurance",29,"bank","own",1,"skilled","1","yes","yes","bad"
"133","no checking",15,"taking credits","consumer goods",2708,"<100","0<X<1",2,"male","none",3,"life insurance",27,"bank","own",2,"unskilled resident","1","no","yes","good"
"134","no checking",18,"taking credits","consumer goods",1984,"<100","1<=X<4",4,"male","none",4,"unknown",47,"bank","for free",2,"skilled","1","no","yes","good"
"135","no checking",60,"taking credits","consumer goods",10144,"100<=X<500","4<=X<7",2,"female","none",4,"real estate",21,"stores","own",1,"skilled","1","yes","yes","good"
"136","no checking",12,"critical","consumer goods",1240,"no known savings",">=7",4,"female","none",2,"real estate",38,"stores","own",2,"skilled","1","yes","yes","good"
"137","no checking",27,"delayed previously","car purchase",8613,">=1000","1<=X<4",2,"male","none",2,"car",27,"stores","own",2,"skilled","1","no","yes","good"
"138","0<=X<200",12,"taking credits","consumer goods",766,"500<=X<1000","1<=X<4",4,"male","none",3,"real estate",66,"stores","own",1,"unskilled resident","1","no","yes","bad"
"139","0<=X<200",15,"critical","consumer goods",2728,"no known savings","4<=X<7",4,"male","guarantor",2,"real estate",35,"bank","own",3,"skilled","1","no","yes","good"
"140",">=200",12,"taking credits","consumer goods",1881,"<100","1<=X<4",2,"female","none",2,"car",44,"stores","rent",1,"unskilled resident","1","yes","yes","good"
"141",">=200",6,"taking credits","car purchase",709,">=1000","0<X<1",2,"male","none",2,"real estate",27,"stores","own",1,"unskilled foreign","1","no","no","good"
"142","<0",36,"taking credits","car purchase",4795,"<100","0<X<1",4,"female","none",1,"unknown",30,"stores","own",1,"high qualified","1","yes","yes","good"
"143","<0",27,"taking credits","consumer goods",3416,"<100","1<=X<4",3,"male","none",2,"car",27,"stores","own",1,"high qualified","1","no","yes","good"
"144","<0",18,"taking credits","consumer goods",2462,"<100","1<=X<4",2,"male","none",2,"car",22,"stores","own",1,"skilled","1","no","yes","bad"
"145","no checking",21,"critical","consumer goods",2288,"<100","0<X<1",4,"female","none",4,"life insurance",23,"stores","own",1,"skilled","1","yes","yes","good"
"146","0<=X<200",48,"paid fully","business",3566,"100<=X<500","4<=X<7",4,"male","none",2,"car",30,"stores","own",1,"skilled","1","no","yes","good"
"147","<0",6,"critical","car purchase",860,"<100",">=7",1,"female","none",4,"unknown",39,"stores","own",2,"skilled","1","yes","yes","good"
"148","no checking",12,"critical","car purchase",682,"100<=X<500","4<=X<7",4,"female","none",3,"car",51,"stores","own",2,"skilled","1","yes","yes","good"
"149","<0",36,"critical","consumer goods",5371,"<100","1<=X<4",3,"male","guarantor",2,"life insurance",28,"stores","own",2,"skilled","1","no","yes","good"
"150","no checking",18,"critical","consumer goods",1582,">=1000",">=7",4,"male","none",4,"car",46,"stores","own",2,"skilled","1","no","yes","good"
"151","no checking",6,"taking credits","consumer goods",1346,"100<=X<500",">=7",2,"male","none",4,"unknown",42,"bank","for free",1,"skilled","2","yes","yes","good"
"152","no checking",10,"taking credits","consumer goods",1924,"<100","1<=X<4",1,"male","none",4,"life insurance",38,"stores","own",1,"skilled","1","yes","no","good"
"153",">=200",36,"taking credits","consumer goods",5848,"<100","1<=X<4",4,"male","none",1,"car",24,"stores","own",1,"skilled","1","no","yes","good"
"154","0<=X<200",24,"critical","car purchase",7758,">=1000",">=7",2,"female","none",4,"unknown",29,"stores","rent",1,"skilled","1","no","yes","good"
"155","0<=X<200",24,"delayed previously","business",6967,"100<=X<500","4<=X<7",4,"male","none",4,"car",36,"stores","rent",1,"high qualified","1","yes","yes","good"
"156","<0",12,"taking credits","consumer goods",1282,"<100","1<=X<4",2,"female","none",4,"car",20,"stores","rent",1,"skilled","1","no","yes","bad"
"157","<0",9,"critical","repairs",1288,"100<=X<500",">=7",3,"male","guarantor",4,"real estate",48,"stores","own",2,"skilled","2","no","no","good"
"158","<0",12,"paid fully","retraining",339,"<100",">=7",4,"male","none",1,"car",45,"bank","own",1,"unskilled resident","1","no","yes","good"
"159","0<=X<200",24,"taking credits","other",3512,"100<=X<500","4<=X<7",2,"male","none",3,"car",38,"bank","own",2,"skilled","1","yes","yes","good"
"160","no checking",6,"critical","consumer goods",1898,"no known savings","1<=X<4",1,"male","none",2,"real estate",34,"stores","own",2,"unskilled resident","2","no","yes","good"
"161","no checking",24,"critical","consumer goods",2872,"100<=X<500",">=7",3,"male","none",4,"real estate",36,"stores","own",1,"skilled","2","yes","yes","good"
"162","no checking",18,"critical","car purchase",1055,"<100","0<X<1",4,"female","none",1,"life insurance",30,"stores","own",2,"skilled","1","no","yes","good"
"163","no checking",15,"taking credits","consumer goods",1262,"500<=X<1000","4<=X<7",4,"male","none",3,"life insurance",36,"stores","own",2,"skilled","1","yes","yes","good"
"164","0<=X<200",10,"taking credits","car purchase",7308,"<100","0",2,"male","none",4,"unknown",70,"bank","for free",1,"high qualified","1","yes","yes","good"
"165","no checking",36,"taking credits","car purchase",909,"500<=X<1000",">=7",4,"male","none",4,"life insurance",36,"stores","own",1,"skilled","1","no","yes","good"
"166","no checking",6,"taking credits","consumer goods",2978,"500<=X<1000","1<=X<4",1,"male","none",2,"car",32,"stores","own",1,"skilled","1","yes","yes","good"
"167","<0",18,"taking credits","consumer goods",1131,"<100","0",4,"female","none",2,"car",33,"stores","own",1,"skilled","1","no","yes","bad"
"168","0<=X<200",11,"taking credits","consumer goods",1577,">=1000","0<X<1",4,"female","none",1,"real estate",20,"stores","own",1,"skilled","1","no","yes","good"
"169","no checking",21,"taking credits","consumer goods",3972,"<100","4<=X<7",2,"female","none",4,"life insurance",25,"stores","rent",1,"skilled","1","yes","yes","good"
"170","0<=X<200",24,"critical","business",1935,"<100",">=7",4,"male","none",4,"real estate",31,"stores","own",2,"skilled","1","yes","yes","bad"
"171","<0",15,"paid fully","car purchase",950,"<100",">=7",4,"male","none",3,"car",33,"stores","rent",2,"skilled","2","no","yes","bad"
"172","no checking",12,"taking credits","consumer goods",763,"<100","1<=X<4",4,"female","none",1,"real estate",26,"stores","own",1,"skilled","1","yes","yes","good"
"173","0<=X<200",24,"delayed previously","consumer goods",2064,"<100","0",3,"female","none",2,"life insurance",34,"stores","own",1,"high qualified","1","yes","yes","bad"
"174","0<=X<200",8,"taking credits","consumer goods",1414,"<100","1<=X<4",4,"male","guarantor",2,"real estate",33,"stores","own",1,"skilled","1","no","no","good"
"175","<0",21,"delayed previously","education",3414,"<100","0<X<1",2,"male","none",1,"life insurance",26,"stores","own",2,"skilled","1","no","yes","bad"
"176","no checking",30,"paid fully","car purchase",6074,"no known savings","0",4,"female","none",1,"real estate",53,"bank","own",1,"high qualified","1","yes","yes","bad"
"177","<0",12,"taking credits","consumer goods",2577,"<100","1<=X<4",2,"male","none",3,"car",42,"stores","own",1,"skilled","1","no","yes","good"
"178","<0",6,"critical","consumer goods",338,"500<=X<1000",">=7",4,"male","none",4,"car",52,"stores","own",2,"skilled","1","no","yes","good"
"179","no checking",12,"taking credits","consumer goods",1963,"<100","4<=X<7",4,"male","none",2,"car",31,"stores","rent",2,"high qualified","2","yes","yes","good"
"180","<0",21,"critical","car purchase",571,"<100",">=7",4,"male","none",4,"real estate",65,"stores","own",2,"skilled","1","no","yes","good"
"181","no checking",36,"delayed previously","business",9572,"<100","0<X<1",1,"male","none",1,"car",28,"stores","own",2,"skilled","1","no","yes","bad"
"182","0<=X<200",36,"delayed previously","business",4455,"<100","1<=X<4",2,"male","none",2,"real estate",30,"stores","own",2,"high qualified","1","yes","yes","bad"
"183","<0",21,"paid fully","car purchase",1647,"no known savings","1<=X<4",4,"male","none",2,"life insurance",40,"stores","own",2,"unskilled resident","2","no","yes","bad"
"184","no checking",24,"critical","consumer goods",3777,">=1000","1<=X<4",4,"male","none",4,"real estate",50,"stores","own",1,"skilled","1","yes","yes","good"
"185","0<=X<200",18,"critical","car purchase",884,"<100",">=7",4,"male","none",4,"car",36,"bank","own",1,"skilled","2","yes","yes","bad"
